,StationID,Name,Intervals,Year Start,Year End
0,1309,100 MILE HOUSE 6NE,"['Daily', 'Monthly']",1987,2017
1,559,108 MILE HOUSE ABEL LAKE,"['Daily', 'Monthly']",1987,2017
2,702,ABBOTSFORD A,"['Hourly', 'Daily', 'Monthly']",1953,2012
3,54238,ABBOTSFORD A,['Hourly'],2016,2018
4,50308,ABBOTSFORD A,"['Hourly', 'Daily']",2011,2018
5,374,ADDENBROKE ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001
6,707,AGASSIZ CDA,"['Daily', 'Monthly']",1889,2017
7,706,AGASSIZ RCS,"['Hourly', 'Daily', 'Monthly']",1994,2018
8,225,ALBERNI ROBERTSON CREEK,"['Daily', 'Monthly']",1961,2016
9,137,ALERT BAY,"['Hourly', 'Daily', 'Monthly']",1954,1994
10,227,AMPHITRITE POINT,"['Hourly', 'Daily', 'Monthly']",1980,2001
11,48708,ASHCROFT,"['Hourly', 'Daily']",2010,2018
12,1485,ATLIN,"['Daily', 'Monthly']",1899,2018
13,456,BABINE LAKE PINKUT CREEK,"['Daily', 'Monthly']",1968,2012
14,138,BALLENAS ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2018
15,568,BARKERVILLE,"['Daily', 'Monthly']",1888,2015
16,1167,BAYNES LAKE KOOTENAY RIVER,"['Daily', 'Monthly']",1986,2015
17,1078,BEAVERDELL NORTH,"['Daily', 'Monthly']",1975,2006
18,49388,BELLA BELLA,"['Hourly', 'Daily']",2011,2018
19,44766,BELLA BELLA A,"['Hourly', 'Daily', 'Monthly']",2007,2011
20,51419,BELLA COOLA A,['Hourly'],2013,2018
21,52978,BELLA COOLA A,['Hourly'],2014,2018
22,381,BELLA COOLA A,"['Hourly', 'Daily', 'Monthly']",1983,2013
23,54338,BELLA COOLA AIRPORT,"['Hourly', 'Daily']",2015,2018
24,10811,BIG CREEK (AUT),"['Hourly', 'Daily']",1994,2003
25,1100,BILLINGS,"['Daily', 'Monthly']",1984,2018
26,139,BLACK CREEK,"['Daily', 'Monthly']",1964,2008
27,45507,BLACK CREEK SE,"['Daily', 'Monthly']",2006,2014
28,45787,BLACKCOMB BASE SLIDING CENTER,"['Hourly', 'Daily']",2007,2018
29,47807,BLACKCOMB BASE SLIDING CENTRE BOTTOM,"['Hourly', 'Daily']",2008,2010
30,53423,BLUE RIVER A,['Hourly'],2015,2018
31,1237,BLUE RIVER A,"['Hourly', 'Daily', 'Monthly']",1969,2015
32,53424,BLUE RIVER A,['Hourly'],2015,2018
33,8214,BLUE RIVER CS,"['Hourly', 'Daily', 'Monthly']",1993,2018
